"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/ThirdPersonBP/sigin/wollaton_hall/M_Sign_2.M_Sign_2","0","12","4","1","12.144063","0","32"
"/Game/ThirdPersonBP/sigin/market_square/M_Sign_2.M_Sign_2","0","12","4","1","0.000000","0","32"
"/Game/ThirdPersonBP/sigin/nottingham/M_Sign.M_Sign","0","12","2","1","10.447370","0","61"
"/Game/ThirdPersonBP/radio/Material_254.Material_254","0","12","7","1","11.660456","0","34"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/Translucent_Glass_Green_Dark.Translucent_Glass_Green_Dark","0","12","7","1","10.460012","0","34"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/skp_front_default.skp_front_default","0","12","6","1","10.807027","0","33"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/Metal_Embossed.Metal_Embossed","0","12","5","1","10.692059","0","32"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/DimGray.DimGray","0","12","9","1","10.333986","0","34"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/Color_F16.Color_F16","0","12","2","1","10.328772","0","30"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/Color_F14.Color_F14","0","12","4","1","10.210017","0","32"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/Color_F02.Color_F02","0","12","12","1","10.251688","0","18"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/Color_E07.Color_E07","0","12","4","1","10.616369","0","33"
"/Game/ThirdPersonBP/prototype_folder/tram_2/NewTram/Color_000.Color_000","0","12","8","1","10.025578","0","34"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/ThirdPersonBP/prototype_folder/tram_2/Translucent_Glass_Green_Dark.Translucent_Glass_Green_Dark","0","12","7","1","0.000000","0","34"
"/Game/ThirdPersonBP/prototype_folder/tram_2/skp_front_default.skp_front_default","0","12","12","1","0.000000","0","18"
"/Game/ThirdPersonBP/prototype_folder/tram_2/Metal_Embossed.Metal_Embossed","0","12","12","1","0.000000","0","20"
"/Game/ThirdPersonBP/prototype_folder/tram_2/DimGray.DimGray","0","12","12","1","0.000000","0","22"
"/Game/ThirdPersonBP/prototype_folder/tram_2/Color_F16.Color_F16","0","12","12","1","0.000000","0","14"
"/Game/ThirdPersonBP/prototype_folder/tram_2/Color_F14.Color_F14","0","12","12","1","0.000000","0","16"
"/Game/ThirdPersonBP/prototype_folder/tram_2/Color_F02.Color_F02","0","12","12","1","0.000000","0","18"
"/Game/ThirdPersonBP/prototype_folder/tram_2/Color_E07.Color_E07","0","12","12","1","0.000000","0","16"
"/Game/ThirdPersonBP/prototype_folder/tram_2/Color_000.Color_000","0","12","12","1","0.000000","0","22"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","0","0","21","1","0.000000","0","0"
